id,ts,user_id,conversation_id,trace_id,event_type,payload_json
35,2026-06-02T04:50:39+00:00,smoke_user,,,data.plan,"{""ok"": true, ""operation"": {""metric"": ""nps_score"", ""filters"": {""year"": [2024], ""period"": null, ""channel"": null, ""product_line"": null}, ""group_by"": [], ""aggregation"": ""sum"", ""compare_to"": null, ""sort_by"": null, ""limit"": null}, ""drilldown"": false}"
36,2026-06-02T04:50:39+00:00,smoke_user,,,data.execute,"{""ok"": false, ""reason"": ""invalid_aggregation"", ""operation"": {""metric"": ""nps_score"", ""filters"": {""year"": [2024], ""period"": null, ""channel"": null, ""product_line"": null}, ""group_by"": [], ""aggregation"": ""sum"", ""compare_to"": null, ""sort_by"": null, ""limit"": null}, ""csv_sha256"": ""3623267170196b2851d6df2ed41ee182533bc1428c9f4a6729098f02b777683a""}"
37,2026-06-02T04:50:39+00:00,smoke_user,,,supervisor.route,"{""route"": ""out_of_year"", ""target_year"": 2023, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02""}"
38,2026-06-02T04:50:39+00:00,smoke_user,,,year_fallback,"{""requested"": 2023, ""offered"": [2022, 2024], ""covered_years"": [2020, 2021, 2022, 2024]}"
39,2026-06-02T04:50:41+00:00,smoke_user,,,supervisor.route,"{""route"": ""report"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
40,2026-06-02T04:52:42+00:00,smoke_user,,,report.generate,"{""kind"": ""executive"", ""year"": 2024, ""report_run_id"": ""4c9b2df6b4f5"", ""kpi_csv_sha256"": ""362326717019"", ""generated_on"": ""2026-06-02"", ""kpi_count"": 8, ""trend_chart_count"": 5, ""risk_severity_counts"": {""green"": 4, ""amber"": 0, ""red"": 1}, ""recommendation_count"": 3, ""appendix_chunk_count"": 6}"
41,2026-06-02T05:07:45+00:00,default_user,9,7b66e8b46f7d8ef1141c20ee914fc636,supervisor.route,"{""route"": ""report"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
42,2026-06-02T05:09:58+00:00,default_user,9,7b66e8b46f7d8ef1141c20ee914fc636,report.generate,"{""kind"": ""executive"", ""year"": 2024, ""report_run_id"": ""4c9b2df6b4f5"", ""kpi_csv_sha256"": ""362326717019"", ""generated_on"": ""2026-06-02"", ""kpi_count"": 8, ""trend_chart_count"": 5, ""risk_severity_counts"": {""green"": 4, ""amber"": 0, ""red"": 1}, ""recommendation_count"": 3, ""appendix_chunk_count"": 6}"
43,2026-06-02T05:24:36+00:00,default_user,10,832b77360bf10b3098ca958862b07d04,supervisor.route,"{""route"": ""report"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
44,2026-06-02T05:26:46+00:00,default_user,10,832b77360bf10b3098ca958862b07d04,report.generate,"{""kind"": ""executive"", ""year"": 2024, ""report_run_id"": ""4c9b2df6b4f5"", ""kpi_csv_sha256"": ""362326717019"", ""generated_on"": ""2026-06-02"", ""kpi_count"": 8, ""trend_chart_count"": 5, ""risk_severity_counts"": {""green"": 4, ""amber"": 0, ""red"": 1}, ""recommendation_count"": 3, ""appendix_chunk_count"": 6}"
45,2026-06-02T06:09:35+00:00,default_user,11,243b519fba177dc740f817d25d6cca51,supervisor.route,"{""route"": ""rag"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
46,2026-06-02T06:09:44+00:00,default_user,11,243b519fba177dc740f817d25d6cca51,rag.retrieve,"{""where"": {""year"": 2024}, ""k"": 5, ""reformulated_query"": ""What is the refund period according to the 2024 customer guidelines?"", ""sources"": [""Enhanced_Customer_Guidelines_2024.pdf""]}"
47,2026-06-02T06:10:11+00:00,default_user,11,243b519fba177dc740f817d25d6cca51,rag.answer,"{""retry_count"": 0, ""answer_chars"": 307, ""target_year"": 2024}"
48,2026-06-02T06:10:17+00:00,default_user,11,243b519fba177dc740f817d25d6cca51,validator.judge,"{""grounded"": true, ""citations_ok"": true, ""critique"": ""Answer accurately reflects the context."", ""retry_count"": 0, ""terminal"": true}"
49,2026-06-02T06:11:07+00:00,default_user,12,e0384e2b0601ccac955ba861e06d148a,supervisor.route,"{""route"": ""needs_clarification"", ""target_year"": null, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": ""year_missing""}"
50,2026-06-02T06:11:13+00:00,default_user,12,e0384e2b0601ccac955ba861e06d148a,clarifier.ask,"{""reason"": ""year_missing"", ""question"": ""Which year applies - 2020, 2021, 2022, or 2024?"", ""original_question_preview"": ""What's the refund window?"", ""covered_years"": [2020, 2021, 2022, 2024]}"
51,2026-06-02T06:11:54+00:00,default_user,12,340f7c8937db89a2d5bd681a1246efd9,supervisor.route,"{""route"": ""rag"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
52,2026-06-02T06:11:59+00:00,default_user,12,340f7c8937db89a2d5bd681a1246efd9,rag.retrieve,"{""where"": {""year"": 2024}, ""k"": 5, ""reformulated_query"": ""What is the 2024 refund window for insurance policies?"", ""sources"": [""Enhanced_Customer_Guidelines_2024.pdf""]}"
53,2026-06-02T06:12:15+00:00,default_user,12,340f7c8937db89a2d5bd681a1246efd9,rag.answer,"{""retry_count"": 0, ""answer_chars"": 277, ""target_year"": 2024}"
54,2026-06-02T06:12:21+00:00,default_user,12,340f7c8937db89a2d5bd681a1246efd9,validator.judge,"{""grounded"": true, ""citations_ok"": true, ""critique"": ""Answer accurately reflects the context."", ""retry_count"": 0, ""terminal"": true}"
55,2026-06-02T06:14:28+00:00,default_user,13,69381e51fe27b487cad2170e30dfb0a1,supervisor.route,"{""route"": ""data"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
56,2026-06-02T06:14:40+00:00,default_user,13,69381e51fe27b487cad2170e30dfb0a1,data.plan,"{""ok"": true, ""operation"": {""metric"": ""gross_written_premium_eur"", ""filters"": {""year"": [2024], ""period"": null, ""channel"": null, ""product_line"": null}, ""group_by"": [], ""aggregation"": ""sum"", ""compare_to"": null, ""sort_by"": null, ""limit"": null}, ""drilldown"": false}"
57,2026-06-02T06:14:40+00:00,default_user,13,69381e51fe27b487cad2170e30dfb0a1,data.execute,"{""ok"": true, ""row_count"": 1, ""duration_s"": 0.011, ""csv_sha256"": ""3623267170196b2851d6df2ed41ee182533bc1428c9f4a6729098f02b777683a"", ""metric"": ""gross_written_premium_eur"", ""aggregation"": ""sum""}"
58,2026-06-02T06:14:50+00:00,default_user,13,5e8d5df651bef0b8d037a99b41f7828e,supervisor.route,"{""route"": ""data"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
59,2026-06-02T06:14:56+00:00,default_user,13,5e8d5df651bef0b8d037a99b41f7828e,data.plan,"{""ok"": true, ""operation"": {""metric"": ""digital_adoption_pct"", ""filters"": {""year"": null, ""period"": null, ""channel"": null, ""product_line"": null}, ""group_by"": [""product_line""], ""aggregation"": ""weighted_mean"", ""compare_to"": null, ""sort_by"": null, ""limit"": null}, ""drilldown"": false}"
60,2026-06-02T06:14:57+00:00,default_user,13,5e8d5df651bef0b8d037a99b41f7828e,data.execute,"{""ok"": true, ""row_count"": 4, ""duration_s"": 0.092, ""csv_sha256"": ""3623267170196b2851d6df2ed41ee182533bc1428c9f4a6729098f02b777683a"", ""metric"": ""digital_adoption_pct"", ""aggregation"": ""weighted_mean""}"
61,2026-06-02T06:18:56+00:00,default_user,14,b73eb666644fae751e2c4cdd29d60f64,supervisor.route,"{""route"": ""report"", ""target_year"": 2024, ""covered_years"": [2020, 2021, 2022, 2024], ""resolved_today"": ""2026-06-02"", ""clarifier_reason"": null}"
62,2026-06-02T06:21:06+00:00,default_user,14,b73eb666644fae751e2c4cdd29d60f64,report.generate,"{""kind"": ""executive"", ""year"": 2024, ""report_run_id"": ""bbbfe5a279c1"", ""kpi_csv_sha256"": ""362326717019"", ""generated_on"": ""2026-06-02"", ""kpi_count"": 8, ""trend_chart_count"": 5, ""risk_severity_counts"": {""green"": 4, ""amber"": 0, ""red"": 1}, ""recommendation_count"": 3, ""appendix_chunk_count"": 6}"
